region,2021-08-21,2021-09-21,2021-10-21,2021-11-21,2021-12-21,2022-01-22,2022-02-22,2022-03-22,2022-04-22,2022-05-22,2022-06-22,2022-07-22,2022-08-22
경기 고양시 일산동구,312702,317458,321764,324020,324493,324448,324280,324173,323876,323282,322558,321378,317764
경기 고양시 일산서구,172652,176090,178844,180909,181935,182304,182411,182363,182383,182291,181966,181735,181211
경기 파주시,218670,222529,224534,225195,224710,224468,224351,224187,223895,223373,222811,222004,220256
경기 경원권,299596,305813,311283,313836,314107,314099,314044,314058,313637,312732,312015,310191,305415
경기 포천시,389278,393765,398498,401129,401882,401762,401431,401249,400942,400384,399493,398336,394009
경기 동두천시,344132,347476,352926,357155,359284,359180,359004,358626,358468,358191,357374,355721,352505
경기 양주시,212644,214868,216736,218021,218928,218962,218680,218371,218286,218068,217400,216992,215738
경기 의정부시,660861,680009,695952,707873,710678,710217,709539,705892,704886,700069,695123,691358,681931
인천 중구,405803,410673,417955,422073,422738,422878,422845,422105,421284,419727,419789,416636,412029
인천 동구,399832,407526,414836,420050,422482,422652,422390,421635,420946,420164,419278,417808,413351
인천 남구,300350,306695,312886,316780,319419,320122,319870,319748,319947,319703,319215,318285,314923
인천 연수구,450899,459699,467044,470075,471712,471767,471211,470396,469688,466872,466365,465188,459866
인천 남동구,425923,429334,433170,436290,436972,437345,437111,436791,436572,436034,435319,433946,430393
인천 부평구,179355,179763,179408,179708,178700,178363,178418,178418,178313,178450,178476,178450,178345
인천 계양구,327278,328895,330204,332327,333043,332833,332907,332981,332857,333635,333437,333472,332823
인천 서구,277161,278226,279460,282235,283060,282274,283573,283940,284279,285210,286702,285735,284748
부산 중부산권,210856,212303,214106,215490,216544,216647,216662,216637,216657,216915,216955,216963,216653
부산 중구,330527,332725,335752,338850,339537,340022,339986,340165,339964,339771,339423,338701,336030
부산 서구,523425,525046,526772,527516,527702,528563,527285,526940,526725,526289,525127,521969,517670
부산 동구,496491,504787,512128,515977,516460,517011,516636,515663,514255,511173,509287,507415,503565
부산 영도구,717078,723585,732876,741401,743152,743606,743613,742394,743113,742787,741496,739809,729982
